Year,Competition Level,Rider Status,Entry Count,Show Count
2022,Bronze,Junior,93,39
2022,Bronze,Adult Amateur,584,39
2022,Bronze,Open,239,39
2022,Bronze,Unspecified,181,39
2022,Silver,Junior,32,39
2022,Silver,Adult Amateur,257,39
2022,Silver,Open,179,39
2022,Silver,Unspecified,257,39
2022,Gold,Junior,241,39
2022,Gold,Adult Amateur,295,39
2022,Gold,Open,606,39
2022,Gold,Unspecified,751,39
2022,CADORA,Junior,23,39
2022,CADORA,Adult Amateur,13,39
2022,CADORA,Open,48,39
2022,CADORA,Unspecified,85,39
2022,Unknown,Unspecified,95,39
2023,Bronze,Junior,171,39
2023,Bronze,Adult Amateur,725,39
2023,Bronze,Open,256,39
2023,Bronze,Unspecified,130,39
2023,Silver,Junior,60,39
2023,Silver,Adult Amateur,356,39
2023,Silver,Open,110,39
2023,Silver,Unspecified,398,39
2023,Gold,Junior,146,39
2023,Gold,Adult Amateur,344,39
2023,Gold,Open,637,39
2023,Gold,Unspecified,931,39
2023,CADORA,Junior,16,39
2023,CADORA,Open,79,39
2023,CADORA,Unspecified,73,39
2023,Unknown,Unspecified,150,39
2024,Bronze,Junior,142,47
2024,Bronze,Adult Amateur,587,47
2024,Bronze,Open,191,47
2024,Bronze,Unspecified,210,47
2024,Silver,Junior,54,47
2024,Silver,Adult Amateur,246,47
2024,Silver,Open,184,47
2024,Silver,Unspecified,388,47
2024,Gold,Junior,200,47
2024,Gold,Adult Amateur,301,47
2024,Gold,Open,496,47
2024,Gold,Unspecified,932,47
2024,CADORA,Junior,46,47
2024,CADORA,Unspecified,190,47
2024,Non-Competing,Unspecified,3,47
2024,Unknown,Unspecified,141,47
2025,Bronze,Junior,119,52
2025,Bronze,Adult Amateur,636,52
2025,Bronze,Open,115,52
2025,Bronze,Unspecified,276,52
2025,Silver,Junior,71,52
2025,Silver,Adult Amateur,394,52
2025,Silver,Open,143,52
2025,Silver,Unspecified,240,52
2025,Gold,Junior,117,52
2025,Gold,Adult Amateur,348,52
2025,Gold,Open,529,52
2025,Gold,Unspecified,937,52
2025,CADORA,Junior,14,52
2025,CADORA,Unspecified,122,52
2025,Unknown,Unspecified,180,52
2026,CADORA,Junior,2,2
2026,CADORA,Unspecified,7,2
2026,Unknown,Junior,2,2
2026,Unknown,Unspecified,7,2
